,Preço,Detalhes,Link
93,"R$ 1.380.000,00 "," CASA PARQUE DO SOM, COM 260,00 M².
EXCELENTE PADRÃO DE ACABAMENTO - IMÓVEL NOVO.
UMA SUÍTE, DUAS DEMI SUÍTES.
MOVEIS SOB MEDIDA COZINHA E BANHEIROS. ",http://www.habitar.imb.br/imoveis/528730/casa-parque-do-som
94,"R$ 140.000,00 "," OFERTA!!! 02 LOTES COM DIVISA LATERAL SOMANDO 26m DE FRENTE E 529,45m² DE ÁREA TOTAL. ",http://www.habitar.imb.br/imoveis/520655/terrenos--bairro--fraron---lot--universitario
95,"R$ 320.000,00 "," SUÍTE MAIS DOIS QUARTOS, SALA DOIS AMBIENTES, SACADA COM CHURRASQUEIRA.
UMA VAGA DE GARAGEM INDIVIDUAL.
ÁREA TOTAL 122,28 M². ÁREA PRIVATIVA DE 84,09 M² ",http://www.habitar.imb.br/imoveis/519698/ed--dona-cleci-ribeiro
96,"R$ 1.150,00 "," Apartamentos duplex com vaga de garagem individual.
04 unidades;
Metragem: 98 área útil – 129,93 área total. ",http://www.habitar.imb.br/imoveis/472603/apartamento-04----duplex-bairro-sao-francisco
97,"R$ 490.000,00 "," TERRENO COMERCIAL DE FRENTE A BR-158 COM 28.500M² EM VITORINO, AO LADO ESQUERDO DA SEMENTES GUERRA, DE FRENTE A POSSOLI IVECO CAMINHÕES. ",http://www.habitar.imb.br/imoveis/459623/terreno-comercial-br-158-vitorino
98,"R$ 350.000,00 "," APARTAMENTO com 186,00 m² DE ÁREA TOTAL E 127,00 m²  PRIVATIVOS, 03 DORMITÓRIOS COM SUÍTE, FACE NORTE. ",http://www.habitar.imb.br/imoveis/448788/edificio-imperatriz-403
99,"R$ 845.000,00 "," AMPLO APARTAMENTO, TODO REFORMADO, DECORADO E COM MÓVEIS SOB MEDIDA. ÁREA TOTAL DE 275,00M² E ÁREA PRIVATIVA DE 175,00M². SUÍTE, DOIS DORMITÓRIOS, SALA DE ESTAR, JANELA E TV. ",http://www.habitar.imb.br/imoveis/446498/residencial-delta
100,"R$ 235.000,00 "," CASA NOVA, COM LAJE.  COM 74,00m² E TERRENO COM 180,00m², 03 DORMITÓRIOS COM SUÍTE.
 ",http://www.habitar.imb.br/imoveis/420628/casa-cristo-rei--nova-
101,"R$ 168.000,00 "," AMPLO TERRENO DE ESQUINA COM 553,10M².  PRÓXIMO AO LAGO E ÁREA DE LASER. ",http://www.habitar.imb.br/imoveis/417072/terreno-vila-matilde
102,"R$ 800,00 ", Apartamento localizado no Centro de Pato Branco. ,http://www.habitar.imb.br/imoveis/413116/apartamento-02-edificio-beija-flor
103,"R$ 595.000,00 "," CASA EM ALVENARIA COM 186,00 M² DE ÁREA TOTAL E 440,00 M² DE TERRENO. ",http://www.habitar.imb.br/imoveis/407236/casa-alvenaria-pinheiros
104,"R$ 180.000,00 "," CASA COM 100,00 M². DOIS QUARTOS, SALA, COZINHA E SALÃO DE FESTAS COM CHURRASQUEIRA. ",http://www.habitar.imb.br/imoveis/399248/casa-1095---fraron
105,R$ Consulte Valor ," LANÇAMENTO!!! 
APARTAMENTOS COM DOIS OU TRÊS DORMITÓRIOS COM SUÍTE.
FORMAS DE PAGAMENTO ESPECIAIS. ",http://www.habitar.imb.br/imoveis/389441/residencial--flamboyant
106,"R$ 1.420.000,00 "," CASA RUA NEREU RAMOS, COM 270,00 M² E TERRENO COM 550,00 M².
UMA SUÍTE, DOIS DORMITÓRIOS, AMPLO ESPAÇO DE FESTAS, SALAS INTEGRADAS, ÓTIMO PADRÃO DE ACABAMENTO.
 ",http://www.habitar.imb.br/imoveis/381738/casa-alvenaria-centro
107,"R$ 280.000,00 "," APARTAMENTO COM TRÊS QUARTOS, AMPLA SALA PARA DOIS AMBIENTES, COZINHA COM COPA, DESPENSA, DUAS VAGAS DE GARAGEM, AQUECIMENTO A GÁS, QUARTO ANDAR. ",http://www.habitar.imb.br/imoveis/333583/edificio-imperatriz
108,"R$ 680.000,00 "," APARTAMENTO PRONTO PARA MORAR,  ULTIMO ANDAR, COM  265,00 m² DE ÁREA TOTAL, 03 SUÍTES E  O2 VAGAS DE GARAGEM INDIVIDUAIS.  ",http://www.habitar.imb.br/imoveis/329135/apartamento-ed--emanuell--novo-
109,"R$ 400.000,00 "," IMÓVEL 03 DORMITÓRIOS, 02 VAGAS DE GARAGEM, AMPLA SACADA COM CHURRASQUEIRA.
A DUAS QUADRAS DA AV. TUPI NO CENTRO DE PATO BRANCO.
ÁREA TOTAL 147,77 M².  ",http://www.habitar.imb.br/imoveis/322553/apartamento-ed--belluno-i
110,"R$ 2.300,00 "," Casa 180,00m²  e terreno com 1.000m², contendo 03 quartos (suite com hidro). 
Residencial ou Comercial ",http://www.habitar.imb.br/imoveis/322124/casa-bairro-brasilia
111,R$ Consulte Valor ," CASA SEMI NOVA, LOTEAMENTO DOM CARLOS.
ÁREA DE 313,47 M² E TERRENO COM 405,14 M².
TRÊS SUÍTES, LINDA VISÃO DA CIDADE.
ESPAÇO PROJETADO PARA ELEVADOR.
 ",http://www.habitar.imb.br/imoveis/317542/casa-menino-deus
112,R$ Consulte Valor ," LANÇAMENTO! RESIDENCIAL BRÉSCIA, NO CORAÇÃO DA CIDADE, DISPONIBILIDADE DE ANDARES ALTOS E PARCELAMENTO DIRETO COM A CONSTRUTORA. SUÍTE, DOIS QUARTOS, ESPAÇO GOURMET, DUAS VAGAS INDIVIDUAIS DE GARAGEM. ",http://www.habitar.imb.br/imoveis/316831/residencial-brescia
