,Anúncio Nº :,Bairro:,Banheiros:,CEP:,Cadastro Municipal:,Calçada:,Categoria,Cidade:,Cobertura:,Construção:,Código do Imóvel:,Cômodos:,Distância Ponto de Ônibus:,Endereço:,Esgoto:,Estacionamento:,Estado:,Forro:,Iluminação Interna:,Lavabo:,Lavanderia:,Link,Metragem Barracão:,Metragem Frente:,Metragem Fundo:,Metragem Lado Direito:,Metragem Lado Esquerdo:,Metragem Terreno:,Metragem do Imóvel:,Nome do Edifício:,Número Lote:,Número Quadra:,Número de Suítes:,Número do Andar:,Número do Apto.:,Orientação Solar:,País:,Price:,Quartos:,Salas:,Tipo de Cercado:,Tipo de Garagem:,Tipo de Piso:,Topografia do Terreno:,Vagas de Garagam:,Valor Aprox. Condomínio:,Valor Aprox. IPTU:,Valor Aprox. Seguro:,Zoneamento Municipal:,Água:,Índice de energia:
18, 23811, Santa Terezinha, 2, 85.501-230, 7348240, Lajota,"
Apartamento"," Paraná, Pato Branco", Laje e Telha Colonial, Alvenaria, M108, 8, 02 quadras," rua Xingu, 233 San Marino II", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/apartamento-san-marino-frente-face-norte-oeste-m108/,," 22,50 metros"," 22,50 metros"," 44,30 metros"," 44,70 metros"," 996,80 m²", 120.00 m2, San Marino II, 006, 0089, 01, 05, 501, Frente para o NORTE, Brasil, R$ 348.000 , 3, Uma dois ambientes, Muro com Cerca Metálica, Compartilhada, Alto Tráfego, Terreno com Aclive, 01," 300,00"," R$ 4.500,00 Referência 2018",, ZC-3, Coletiva, 220 whts kWh/m²a
19, 23763, Santa Terezinha, 3, 85.502-527, 7348240, Lajota,"
Casa,"," Paraná, Pato Branco", Aluzinco  , Alvenaria, M107, 10, 05 quadras," rua Pedro Biava, 44", Rede de Esgoto, -- : --, Paraná, Gesso, LED, 1, Sim,https://www.moretti.imb.br/imovel/casa-alto-padrao-198-m%c2%b2-bairro-menino-deus-loteamento-dom-carlos-m107/,," 12,40 metros"," 12,40 metros", 30 metros," 44,70 metros", 372 m², 198.00 m2, San Marino II, 06, 1741, 01, 05, 501, Frente para o SUL, Brasil, R$ 830.000 , 3, 2, Muro, Privativa, Porcelanato, Terreno com Aclive, 02," 300,00"," R$ 4.500,00 Referência 2018",, ZRII, Individual, 220 whts kWh/m²a
20, 23580, Bancários, 3, 85504-520, 7348240, -- : --,"
Terreno", Pato Branco, Aluzinco  , -- : --, M106, 10, 02 quadras, Rua São Salvador, -- : --, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/lote-no-b-bancarios-49687-m2-face-norte-ref-m106/,," 15,00 metros"," 15,00 metros"," 34,50 metros"," 31,75 metros", 7*9387 m², 198.00 m2, San Marino II, 011, 0716, -- : --, -- : --, 501, Frente para o NORTE, Brasil, R$ 300.000 , 3, 2, Aberta, -- : --, -- : --, -- : --, -- : --," 300,00"," R$ 4.500,00 Referência 2018",, ZR-1, -- : --, 220 whts kWh/m²a
21, 23553," Amadori, Menino Deus", 3, 85502-180, 15310900, Grama,"
Casa", Pato Branco, Telha de cimento, Alvenaria, M105, 13, 02 quadras," Rua Frei Caneca, 398", Rede de Esgoto, -- : --, Paraná, PVC, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/casa-151-m2-com-salao-de-festas-menino-deus-rua-frei-caneca-lote-523-m2-ref-m105/,," 14,50 metros"," 14,50 metros"," 36,12 metros"," 36,12 metros"," 523,74 m²", 151.00 m2, San Marino II, 015, 0783, 01, -- : --, 501, Frente para o OESTE, Brasil, R$ 395.000 Estuda imóvel de menor valor !, 3, Duas Salas Mais Salão de Festas, Muro com Cerca Metálica, Privativa, Cerâmica, Terreno Plano, 04," 300,00"," 2019 = R$ 130,96 + Tx Coleta Lixo = R$ 138,07"," Aprox. R$ 45,00 / mês", ZR-1, Individual, 220 whts kWh/m²a
22, 23471, São Francisco, 2, 85.504-802, 45237700, Grama,"
Casa"," Paraná, Pato Branco", Telha de Concreto, Alvenaria, M104, 9, 02 quadras," rua Natal Mazzuco, 417", Fossa Séptica, -- : --, Paraná, Gesso, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/casa-alvenaria-bairro-sao-francisco-112-m%c2%b2-suite-mais-dois-quartos-m104/,, 12, 12, 30, 30, 360 M², 112.00 m2, San Marino II, 009, 1495, 01, Térreo, 501, Frente para o OESTE, Brasil," De  R$ 320.000 Oferta R$ 305.000,00", 3, Uma, Muro com Cerca Metálica, Privativa, Porcelanato, Terreno Plano, 02," 300,00"," 294,03"," Aprox. R$ 45,00 / mês", ZR3, Individual, 220 whts kWh/m²a
23, 23423, Santa Terezinha, 2, 85.501-190, 45237700, Grama,"
Apartamento"," Paraná, Pato Branco", Telha de Concreto, Alvenaria, M095, 8, 01 quadra," rua João Pessoa, 880 Aptº401", Rede de Esgoto, -- : --, Paraná, Laje, LED, 1, Sim,https://www.moretti.imb.br/imovel/apto-3-quartos-suite-2-segundo-andar-face-norte-oeste-edif-erico-verissimo-13517-m2-ref-m095/,, 12, 12, 30, 30, 360 M², 135.00 m2, Érico Veríssimo , 005, 149, 01, 02, 401 4º andar, Frente para o NORTE, Brasil, R$ 378.600 , 2, Uma, Não se aplica a este imóvel, Privativa, Alto Tráfego, Terreno Plano, 01," 270,00"," 294,03"," Aprox. R$ 45,00 / mês", ZR3, Individual, 220 whts kWh/m²a
24, 23399, Santa Terezinha, 2, 85.501-190, 45237700, Grama,"
Apartamento"," Paraná, Pato Branco", Telha de Concreto, Alvenaria, M097, 10, 01 quadra," rua João Pessoa, 880", Rede de Esgoto, -- : --, Paraná, Laje, LED, 1, Sim,https://www.moretti.imb.br/imovel/apartamento-erico-verissimo-apartamento-ultimo-andar-m097/,, 12, 12, 30, 30, 360 M², 148.00 m2, Érico Veríssimo, 05, 149, 01, 05, 704, Frente para o OESTE, Brasil, R$ 423.500 , 3, Uma com dois ambientes, Não se aplica a este imóvel, Privativa, Porcelanato, Terreno Plano, 02," 270,00"," 294,03"," Aprox. R$ 45,00 / mês", ZR3, Individual, 220 whts kWh/m²a
25, 23231," Bancários, Cadorin", 2, 85.504-420, 45237700, Paver,"
Casa,"," Paraná, Pato Branco", Laje, Alvenaria, M101, 10, 01 quadra," rua Tapir, 2549", Fossa Séptica, -- : --, Paraná, Laje, LED, 1, Sim,https://www.moretti.imb.br/imovel/sobrado-alto-padrao-construtivo-bairro-cadorin-proximo-escola-teatinas-m101/,, 12, 12, 30, 30, 200 M², 240.00 m2, Dall´Oglio, 06, 1399, 01, 05, 704, Frente para o SUL, Brasil, Oferta R$ 700.000 , 3, Duas, Muro, Privativa, Porcelanato, Terreno Plano, 02," 270,00"," 294,03"," Aprox. R$ 45,00 / mês", ZR3, Individual, 220 whts kWh/m²a
26, 23230, Sambugaro, 2, 85.502-010, 45237700, Paver,"
Terreno"," Paraná, Pato Branco", Laje, Alvenaria, M098, 10, 01 quadra, rua Tapir lado nº 405, Fossa Séptica, -- : --, Paraná, Laje, LED, 1, Sim,https://www.moretti.imb.br/imovel/terreno-proximo-ao-gama-e-terminal-rodoviario-bairro-sambugaro-m098/,, 14 metros," 14,00 metros"," 31,90 metros"," 31,90  metros", 450 M², 240.00 m2, Dall´Oglio, 08, 711, 01, 05, 704, Frente para o SUL, Brasil, Oferta R$ 170.000 , 3, Duas, Muro, Privativa, Porcelanato, Terreno com Declive, 02," 270,00"," 294,03"," Aprox. R$ 45,00 / mês", ZR3, Individual, 220 whts kWh/m²a
27, 23229," Cristo Rei, Santa Terezinha", 1, 85.501-110, 45237700, Paver,"
Apartamento"," Paraná, Pato Branco", Laje, Alvenaria, M037, 8, 01 quadra, rua Tapir lado nº 405, Rede de Esgoto, -- : --, Paraná, Laje, LED, 1, Sim,https://www.moretti.imb.br/imovel/vilage-4-estacoes-apartamento-dois-quartos-com-garagem-privativa-otimo-para-investidor-m037/,, 14 metros," 14,00 metros"," 31,90 metros"," 31,90  metros", 450 M², 86.00 m2, Vilage 4 Estações, 07, 166, 01, 03, 303, Frente para o OESTE, Brasil, R$ 199.000 , 3, Jantar e TV, Muro, Privativa, Cerâmica, Terreno com Declive, 01," 200,00"," 294,03"," Aprox. R$ 45,00 / mês", ZR3, Individual, 220 whts kWh/m²a
