,Anúncio Nº :,Bairro:,Banheiros:,CEP:,Calçada:,Categoria,Cidade:,Cobertura:,Construção:,Código do Imóvel:,Cômodos:,Distância Ponto de Ônibus:,Endereço:,Esgoto:,Estacionamento:,Estado:,Forro:,Iluminação Interna:,Lavabo:,Lavanderia:,Link,Metragem Barracão:,Metragem Terreno:,Metragem do Imóvel:,Nome do Edifício:,Número Lote:,Número Quadra:,Número de Suítes:,Número do Andar:,Número do Apto.:,Orientação Solar:,País:,Price:,Quartos:,Salas:,Tipo de Cercado:,Tipo de Garagem:,Tipo de Piso:,Topografia do Terreno:,Vagas de Garagam:,Valor Aprox. Condomínio:,Valor Aprox. IPTU:,Valor Aprox. Seguro:,Água:
37, 23104, Trevo da Guarany, 1, 85501-330, Lajota,"
Barracão,", Pato Branco, Zinco, Alvenaria, 1546.001, 5, 02 quadras, BR 158-373 esquina com Rua Tamoio, -- : --, Sem Cobertura, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/barracao-com-aproximadamente-2-200-m%c2%b2-no-trevo-da-taisa-guarany-ref-1546-001/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 800.00 m2, Toniolo, 8, 0041, -- : --, -- : --, Apart. 202, Frente para o NORTE, Brasil, R$ 8.200 , 2, 01, Cerca Metálica, -- : --, -- : --, Terreno Plano, -- : --," Aprox. R$ 130,00", Por conta do locatário, Sob consulta, Individual
38, 23087, Brasília, 2, 85501-330, Paver,"
Apartamento", Pato Branco, Zinco, Alvenaria, 1572.007, 5, 03 quadras," Rua Silveira Martins, 247", -- : --, Sem Cobertura, Paraná, Laje, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/edif-cecilia-rigo-apartamento-com-suite-2-quartos-sacada-com-churrasqueira-ref-1572-007/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 142.00 m2, Cecília Rigo, 8, 0041, 01, 06, Apart. 602, Frente para o NORTE, Brasil, R$ 1.580 , 3, 02 ambientes com sacada, Cerca Metálica, Privativa, Cerâmica, Terreno Plano, 01," Aprox. R$ 350,00", Por conta do locatário," Aprox. R$ 27,00 a parcela mensal", Individual
39, 23086, Centro, 1, 85501-330, Paver,"
Apartamento", Pato Branco, Zinco, Alvenaria, 1572.007, 5, 02 quadras," Rua Tapejara, 138", -- : --, Sem Cobertura, Paraná, Laje, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/edif-sante-apartamento-2-quartos-sacada-com-churrasqueira-no-centro-ref-1221-040/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 70.00 m2, Santé, 8, 0041, 01, 01, 101, Frente para o NORTE, Brasil, R$ 950 , 2, 02 ambientes com sacada, Cerca Metálica, Privativa, Porcelanato, Terreno Plano, 01," Aprox. R$ 180,00", Por conta do locatário," Aprox. R$ 20,00 a parcela mensal", Individual
40, 22100, Centro, 1, 85501-330, Paver,"
Apartamento", Paraná, Zinco, Alvenaria, 1117.002, 5, 03 quadras," Tupi, 2200", Rede de Esgoto, Não se aplica a este imóvel, Paraná, Não se aplica a este imóvel, Não se aplica a este imóvel, 1, Sim,https://www.moretti.imb.br/imovel/ed-center-ville-apartamento-com-02-quartos-no-centro-ref-1117-002/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 70.00 m2, Center Ville, 8, 0041, Não há, 02, 203, -- : --, Brasil, R$ 750 , 2, Sim, Não se aplica a este imóvel, Sem Garagem, Cerâmica, Não se aplica a este imóvel, Sem Garagem," R$ 200,00", Por conta do locatário," R$ 20,00", Coletiva
41, 21958, Santa Terezinha, 1, 85506-240, Paver,"
Sala", Pato Branco, Zinco, Alvenaria, 1090, 5, -- : --," Rua Visconde de Tamandaré, 269", -- : --, -- : --, Paraná, -- : --, LED, 1, -- : --,https://www.moretti.imb.br/imovel/edif-jardim-boungainville-centro-de-profissionais-na-area-de-saude-ref-1090/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 20.00 m2, Jardim Bouganville, 8, 0041, -- : --, 01, 203, Frente para o SUL, Brasil, R$ 600 , 2, 04, -- : --, Sem Garagem, Porcelanato, -- : --, -- : --," Aprox.: R$ 230,00", Por conta do locatário, Sob consulta, Coletiva
42, 21951, Industrial, 2, 85506-521, Paver,"
Loja", Pato Branco, Eternit, Alvenaria, 996.015, 5, 04 quadras," Rua Maurício Batista Menosso, ", -- : --, Sem Cobertura, Paraná, Laje, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/loja-terrea-ampla-no-bairro-industrial-com-2-banheiros-ref-996-015/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 250.00 m2, Jardim Bouganville, 8, 0041, -- : --, -- : --, 203, Frente para o LESTE, Brasil, R$ 3.000 , 2, 04, -- : --, -- : --, Cerâmica, -- : --, -- : --," Aprox.: R$ 230,00", Por conta do locatário, Sob consulta, Individual
43, 19521, Centro, 2, 85506-521, -- : --,"
Loja", Pato Branco, Eternit, Alvenaria, 1441.002, 5, 02 quadras," Rua Tamoio, 794", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-iguatemi-loja-terrea-ampla-em-otima-localizacao-ref-1441-002/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 267.00 m2, Iguatami, 8, 0041, -- : --, Térreo, 203, -- : --, Brasil, R$ 3.800 , 2, 04, -- : --, Sem Garagem, Cerâmica, -- : --, -- : --, Sob consulta, Por conta do locatário, Sob consulta, -- : --
44, 19096, Centro, 3, 85501-090, Paver,"
Loja", Pato Branco, Eternit, Alvenaria, 1362.007, 5, 01 quadra," Rua Pedro Ramires de Mello, Pato Branco, Microrregião de Pato Branco, Mesorregião Sudoeste Paranaense, Paraná, Região Sul, 85501-090, Brasil", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-agape-ii-loja-terrea-570-m%c2%b2-imovel-novo-ao-lado-da-prefeitura-ref-1362-007/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 570.00 m2, Ágape II, 8, 0041, -- : --, Térreo, 203, -- : --, Brasil, R$ 16.000 , 2, 04, -- : --, Sem Garagem, Porcelanato, Terreno Plano, -- : --, Sob consulta, Por conta do locatário, Sob consulta, Individual
45, 19040, Santa Terezinha, 3, 85501-090, Paver,"
Loja", Pato Branco, Eternit, Alvenaria, 1332, 5, 02 quadras, Rua João Pessoa, Rede de Esgoto, Sem Cobertura, Paraná, Laje, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-erico-verissimo-loja-terrea-nova-ref-1332/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 130.00 m2, Érico Versíssimo, 005, 0149, -- : --, Térreo, 203, Frente para o OESTE, Brasil, R$ 1.700 , 2, 04, -- : --, Privativa, Porcelanato, -- : --, 01, Sob consulta, Por conta do locatário, Sob consulta, Individual
46, 19063, Santa Terezinha, 2, 85501-190, Paver,"
Loja", Pato Branco, Eternit, -- : --, 1332, 4, -- : --, Rua Dr. Beltrão, -- : --, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-erico-verissimo-loja-terrea-nova-ref-1331/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 190.00 m2, Érico Versíssimo, 005, 0149, -- : --, Térreo, 203, Frente para o SUL, Brasil, R$ 2.900 , 2, 04, -- : --, -- : --, Porcelanato, -- : --, 01, Sob consulta, Por conta do locatário, Sob consulta, Individual
